纬度,经度,参考信号接收功率,信干噪比
39.9087,116.4074,-85,22
39.9092,116.4080,-82,24
39.9097,116.4086,-80,25
39.9102,116.4092,-78,26
39.9107,116.4098,-79,25
39.9112,116.4104,-83,23
39.9117,116.4110,-88,20
39.9122,116.4116,-92,18
39.9127,116.4122,-95,16
39.9132,116.4128,-98,14
39.9137,116.4134,-100,13
39.9142,116.4140,-97,15
39.9147,116.4146,-93,17
39.9152,116.4152,-89,19
39.9157,116.4158,-85,21
39.9162,116.4164,-82,23
39.9167,116.4170,-80,24
39.9172,116.4176,-78,25
39.9177,116.4182,-76,26
39.9182,116.4188,-77,25
